Code,Product,Category,Unit,HSN,GST,CESS
32178,"American Snipper",shirt,NOS,3248789,5,0
BC50G,"Baby Chilli powder 50g",food,NOS,Bcxv,5,0
BS123,"BAKERY SUNRISE",food,BOX,464264,5,0
1345,"BAR CODE PRINTER ",Mobile,BOX,ZD220,5,9
D5J221407136,"BARCODE PRINER",electronics,BOX,84433290,12,8
1678,"BARCODE RIBBON",Mobile,BOX,96121090,5,0
10053,"BARCODE SCANNER 1D WIRELESS BPOS 5112",electronics,Mtr,321,18,0
"000123 ","BPOS RP 260 IV Thermal Printer",electronics,BOX,123,18,0
0005,"BUMPER CORNER REAR",electronics,BOX,8708,28,0
4,calculator,Mobile,BOX,123411,5,0
10056,"CCTV CABLE HIKVISION 2MP DOME CAMERA",Mobile,BOX,90485580,18,0
L107,"CCTV CAMERA 2MP",Mobile,BOX,85258900,18,0
BS125,"CCTV CAMERA HIKVISION BULLET 2 MO COLOUR",Mobile,BOX,85258900,5,0
L54687239,"CCTV CAMERA HIKVISION BULLET 2 MP 8MM",electronics,BOX,85258900,12,0
L44684600,"CCTV CAMERA HIKVISION BULLET 2 MP COLOUR",electronics,BOX,85258900,18,0
112233,"Chili Powder",food,Kg,232546576877,5,0
0098,colgate,"round rod",BOX,3432,12,0
1,"Cosmic byte headset",electronics,BOX,225684,18,0
DA123,"Dairy Milk",food,NOS,123456,5,0
8,dress,Mobile,NOS,34543,5,0
010,FEVICOL,Mobile,Kg,112122,5,0
3,"five star",chocolate,NOS,,12,0
1109,"Foxin Cable",Mobile,NOS,,18,0
1123,gun,no,ML,235,5,0
567867,"jelly sweet",food,BOX,23453,5,2
0004,"KANNAN DEVAN TEA","round rod",Kg,23423,5,0
5050,"led 9w",Mobile,NOS,,5,0
23,leo,shirt,NOS,43232,18,0
23,"mentos ",chocolate,BOX,235,18,0
56,"mentos 4",chocolate,BOX,635lk,5,0
2,"milk bar",chocolate,NOS,,12,0
BS124,"MX HDMI CABLE 3 MTR",Mobile,BOX,85441990,5,0
L108,"MX HDMI CABLE 4 MTR",Mobile,BOX,85441990,18,0
909,oneplus12,Mobile,BOX,223d234,18,0
122001,"Paint ",Mobile,NOS,841232288,18,0
7,paint,qqwe,NOS,2334,18,0
4534,"pan america",shirt,NOS,235,18,0
45,"peter england ",shirt,NOS,44323,12,0
5673,pos,qqwe,BOX,sadasd,18,0
12020,"Product 1",qqwe,NOS,572482681,5,0
1111166,"Product 3333","Complete accounting package",NOS,54653543,5,0
32145,"Restaurant Management Software",Software,NOS,3216785,18,0
123,rusk,food,Kg,2343,18,0
789,samsumg_f10,Mobile,BOX,635lk4,28,0
061,"screw driver",electronics,NOS,12345,18,0
5,"seal kit",Mobile,BOX,8421,18,0
0022,soap,"Complete accounting package",BOX,2323,5,0
008,Sugar,"Sugar ",NOS,842725,5,0
2356,sugar,food,Kg,id992,18,0
TR0034,"TEA -",food,BOX,33333,5,1
TROO34,"TEA -GREEN","sqaure rod",NOS,3343434,5,0
123,test,nos,NOS,123,18,0
127146,"Test 100098",Mobile,NOS,76728326,0,0
21002,"Test 12","Billing software",NOS,8818282,12,0
1120000001,"Test 121","Billing software",NOS,84210879910,5,0
21004,"Test 14","Sugar ",NOS,878523,28,0
178801,"Test 18",electronics,NOS,6345435,5,0
11100007,"Test 19",Mobile,NOS,9281273,5,0
1108,"Test 28",qqwe,NOS,1109877678,5,0
1123451,"Test 5561",Mobile,NOS,,5,0
1001,"test gold",qqwe,BOX,1234567,5,0
21001,Test11,"Complete accounting package",NOS,9999999,5,0
21003,Test13,"sqaure rod",NOS,7777777,18,0
001,test2,electronics,BOX,345667,18,0
110032,Test3,qqwe,NOS,845367854,5,0
1785,test6678,qqwe,BOX,23456787,5,0
1000,"Usebiller -Offline system",Software,NOS,225684,18,0
1002,"Usebiller -Offline system with user management",Software,NOS,225684,18,0
1001,"Usebiller -Online system","Complete accounting package",NOS,225685,18,0
335636536,xyz,Mobile,NOS,675764564,5,0
